,CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""EXPCATCHNUM"""," ""EXPCATCHWT"""," ""SCIENTIFIC_NAME"""," ""CATCH_COMMENT"""
0,199103,9103,1400,3,3,10,1.99103e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
1,199103,9103,3750,1,4,10,1.99103e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
2,199103,9103,1400,4,7,10,1.99103e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
3,199103,9103,3740,2,11,10,1.99103e+17,33,0,72.0,1.8,Alosa pseudoharengus (alewife), 
4,199103,9103,3770,1,12,10,1.99103e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
5,199103,9103,3760,1,14,10,1.99103e+17,33,0,5871.0,99.5,Alosa pseudoharengus (alewife), 
6,199103,9103,3780,1,15,10,1.99103e+17,33,0,217.0,18.3,Alosa pseudoharengus (alewife), 
7,199103,9103,1380,2,16,10,1.99103e+17,33,0,17.0,1.4,Alosa pseudoharengus (alewife), 
8,199103,9103,3800,1,17,10,1.99103e+17,33,0,576.0,18.5,Alosa pseudoharengus (alewife), 
9,199103,9103,3790,1,18,10,1.99103e+17,33,0,356.0,18.9,Alosa pseudoharengus (alewife), 
10,199103,9103,1400,5,19,10,1.99103e+17,33,0,9.0,0.5,Alosa pseudoharengus (alewife), 
11,199103,9103,3820,1,22,10,1.99103e+17,33,0,820.0,21.3,Alosa pseudoharengus (alewife), 
12,199103,9103,3820,2,23,10,1.99103e+17,33,0,695.0,21.1,Alosa pseudoharengus (alewife), 
13,199103,9103,1390,2,26,10,1.99103e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
14,199103,9103,1390,3,28,10,1.99103e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
15,199103,9103,3850,1,31,10,1.99103e+17,33,0,13.0,1.1,Alosa pseudoharengus (alewife), 
16,199103,9103,3870,1,32,10,1.99103e+17,33,0,54.0,4.7,Alosa pseudoharengus (alewife), 
17,199103,9103,3860,1,33,10,1.99103e+17,33,0,208.0,8.5,Alosa pseudoharengus (alewife), 
18,199103,9103,1390,5,34,10,1.99103e+17,33,0,21.0,1.8,Alosa pseudoharengus (alewife), 
19,199103,9103,1390,6,35,10,1.99103e+17,33,0,4.0,0.4,Alosa pseudoharengus (alewife), 
20,199103,9103,1390,7,37,10,1.99103e+17,33,0,4.0,0.3,Alosa pseudoharengus (alewife), 
21,199103,9103,1390,8,38,10,1.99103e+17,33,0,6.0,0.3,Alosa pseudoharengus (alewife), 
22,199103,9103,3870,2,40,10,1.99103e+17,33,0,251.0,15.2,Alosa pseudoharengus (alewife), 
23,199103,9103,3890,1,41,10,1.99103e+17,33,0,96.0,6.4,Alosa pseudoharengus (alewife), 
24,199103,9103,3890,2,42,10,1.99103e+17,33,0,4.0,0.3,Alosa pseudoharengus (alewife), 
25,199103,9103,3900,1,43,10,1.99103e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
26,199103,9103,1390,9,46,10,1.99103e+17,33,0,7.0,0.6,Alosa pseudoharengus (alewife), 
27,199103,9103,1390,10,47,10,1.99103e+17,33,0,45.0,4.2,Alosa pseudoharengus (alewife), 
28,199103,9103,1390,11,48,10,1.99103e+17,33,0,13.0,1.1,Alosa pseudoharengus (alewife), 
29,199103,9103,1380,7,49,10,1.99103e+17,33,0,37.0,3.4,Alosa pseudoharengus (alewife), 
30,199103,9103,1380,9,53,10,1.99103e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
31,199103,9103,1390,12,57,10,1.99103e+17,33,0,12.0,1.1,Alosa pseudoharengus (alewife), 
32,199103,9103,1390,13,58,10,1.99103e+17,33,0,2.0,0.2,Alosa pseudoharengus (alewife), 
33,199103,9103,3800,2,59,10,1.99103e+17,33,0,432.0,18.0,Alosa pseudoharengus (alewife), 
34,199103,9103,1400,6,60,10,1.99103e+17,33,0,10.0,1.0,Alosa pseudoharengus (alewife), 
35,199103,9103,1380,14,62,10,1.99103e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
36,199103,9103,1400,8,66,10,1.99103e+17,33,0,3.0,0.1,Alosa pseudoharengus (alewife), 
