,CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,EXPCATCHNUM,EXPCATCHWT,SCIENTIFIC_NAME,CATCH_COMMENT
0,196803,6803,1060,6,4,10,1.96803e+17,33,0,165.0,3.1,Alosa pseudoharengus (alewife), 
1,196803,6803,1060,5,5,10,1.96803e+17,33,0,241.0,5.0,Alosa pseudoharengus (alewife), 
2,196803,6803,1050,1,6,10,1.96803e+17,33,0,1.0,0.5,Alosa pseudoharengus (alewife), 
3,196803,6803,1010,3,11,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
4,196803,6803,1010,2,13,10,1.96803e+17,33,0,2.0,0.0,Alosa pseudoharengus (alewife), 
5,196803,6803,1010,1,14,10,1.96803e+17,33,0,2.0,0.0,Alosa pseudoharengus (alewife), 
6,196803,6803,1730,6,15,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
7,196803,6803,1730,5,16,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
8,196803,6803,1730,1,18,10,1.96803e+17,33,0,3.0,0.0,Alosa pseudoharengus (alewife), 
9,196803,6803,1730,2,20,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
10,196803,6803,1690,7,21,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
11,196803,6803,1690,6,22,10,1.96803e+17,33,0,47.0,0.5,Alosa pseudoharengus (alewife), 
12,196803,6803,1690,4,23,10,1.96803e+17,33,0,32.0,0.5,Alosa pseudoharengus (alewife), 
13,196803,6803,1690,3,24,10,1.96803e+17,33,0,90.0,0.9,Alosa pseudoharengus (alewife), 
14,196803,6803,1690,2,25,10,1.96803e+17,33,0,8.0,0.5,Alosa pseudoharengus (alewife), 
15,196803,6803,1650,8,26,10,1.96803e+17,33,0,4.0,0.0,Alosa pseudoharengus (alewife), 
16,196803,6803,1650,6,27,10,1.96803e+17,33,0,7.0,1.4,Alosa pseudoharengus (alewife), 
17,196803,6803,1650,5,28,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
18,196803,6803,1650,3,29,10,1.96803e+17,33,0,7.0,1.4,Alosa pseudoharengus (alewife), 
19,196803,6803,1650,2,30,10,1.96803e+17,33,0,2.0,0.0,Alosa pseudoharengus (alewife), 
20,196803,6803,1650,1,31,10,1.96803e+17,33,0,16.0,1.4,Alosa pseudoharengus (alewife), 
21,196803,6803,1610,3,32,10,1.96803e+17,33,0,51.0,2.8,Alosa pseudoharengus (alewife), 
22,196803,6803,1610,2,33,10,1.96803e+17,33,0,102.0,6.4,Alosa pseudoharengus (alewife), 
23,196803,6803,1610,1,34,10,1.96803e+17,33,0,135.0,30.4,Alosa pseudoharengus (alewife), 
24,196803,6803,1670,1,42,10,1.96803e+17,33,0,3.0,0.8,Alosa pseudoharengus (alewife), 
25,196803,6803,1650,4,43,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
26,196803,6803,1660,2,45,10,1.96803e+17,33,0,2.0,0.9,Alosa pseudoharengus (alewife), 
27,196803,6803,1650,7,46,10,1.96803e+17,33,0,1.0,0.0,Alosa pseudoharengus (alewife), 
28,196803,6803,1660,4,50,10,1.96803e+17,33,0,3.0,0.9,Alosa pseudoharengus (alewife), 
29,196803,6803,1690,1,51,10,1.96803e+17,33,0,6.0,0.9,Alosa pseudoharengus (alewife), 
30,196803,6803,1700,1,52,10,1.96803e+17,33,0,3.0,0.9,Alosa pseudoharengus (alewife), 
